食の都ふくおか2015	天神中央公園	福岡の食文化を再発見し、地元の皆さまにその価値を伝えることを目的とした、福岡県内の食を一堂に集めたイベントです。福岡県内各地から50以上のブースが出展。定番グルメも“おいしい”アレンジが加えられてラインアップしています
花畑園芸公園「さつき盆栽展示会」	花畑園芸公園内フルーツハウス	油山のふもとにある「花畑園芸公園」は、果樹の育成や、園芸作物の栽培・展示、市民の園芸相談・園芸講座など、市民の園芸振興拠点施設でもある「花とフルーツ」の公園です。 　このたび、さつき盆栽の展示会を開催します。 　入場無料、事前申し込み不要。来場者各日先着30人にポット苗をプレゼント！
開館25周年記念 特別展「新・奴国展」プレイベント（講演会） 福岡市博物館	福岡市博物館	福岡市博物館は、今年で開館25周年。これを記念して10月17日（土）～12月13日（日）まで開催する「開館25周年記念　新・奴国展（しん・なこくてん）」のプレイベント（講演会）を開催します。演題は、「弥生青銅器の世界」。講師は、柳田康雄氏（元国学院大学教授）です。 　聴講無料。事前申し込み不要。定員は先着240名です（午後1時30分から受け付けます）。
自然観察会	福岡市役所　1階市民ロビー	5月22日の「国際生物多様性の日」に合わせ、「自然観察会」を行います。市役所周辺で生きもの観察してみませんか？ 　参加無料。事前申し込み不要、定員は各回先着20名程度ですのでお早目にお集まりください。
てづくり教室	福岡市立少年科学文化会館	みんなで楽しく工作しましょう！今回は、ゲロゲロがえる、プラバンキーホルダー、ビーズのブレスレット、ビーズのストラップ、くるみボタン、カラフルめいろを作ります。対象は、幼児（保護者同伴）、小・中学生。材料費は、各100円～500円程度。それぞれ作るものによって定員があります。事前申し込み不要。当日先着順。
オリジナルポットをつくろう　今津運動公園	今津運動公園	素焼きの鉢にアクリル絵の具でお好きな絵を書いてみませんか？花苗の無料お持ち帰りもできます。対象は、4歳以上（ご家族でのご参加歓迎します）。費用は100円です。事前申し込み不要。当日、管理事務所までお越しください。
つきなみ講座「アンコール時代の遺跡と美術」　福岡市美術館	福岡市美術館1階　教養講座室	現在、福岡市美術館で開催中の特別展「アンコール・ワットへのみち－神々の彫像」展の魅力についてお話しします。聴講無料。定員は、先着50名（午後1時30分から受け付けます）。
減塩サミット2015　in　福岡	エルガーラ・パサージュ広場（中央区天神1）および周辺施設	減塩クッキングショー、パネルディスカッション（23日のみ）、講演（24日のみ）など。減塩弁当や食品の販売、減塩料理などに関する展示もあります。入場無料。
アジアの絵本と紙芝居の読み聞かせ　福岡アジア美術館	福岡アジア美術館　キッズコーナー	3～7歳程度の子どもを対象にした、ボランティアによるアジアの絵本と紙芝居の読み聞かせです。 　無料。事前申し込み不要。定員は、子どもと保護者各回先着10組程度。
伝統工芸「黒田節ロボット」参上　福岡市博物館	福岡市博物館　1階 グランドホール	ロボスクエアの黒田節ロボットが、福岡市博物館に参上！黒田節の舞などを披露します。観覧無料。 　黒田節ロボットの頭部は博多人形（焼物）で、衣装（かみしも）は博多織で製作。ロボットの動きは黒田節の舞を参考にプログラミングを行っています。黒田節ロボットの製作には、福岡で活躍されている各分野の作り手の方にご協力頂き、2009年12月に誕生しました。
映画上映会「博多っ子純情」　「博多町家」ふるさと館	博多町家」ふるさと館	「博多町家」ふるさと館では、現在「開館20周年記念　福博の映画館展～映画のチラシ・ポスターに見る福博映画館史～」を開催中です。この企画展にあわせて、映画上映会を行います。 　当館長・長谷川法世原作の「博多っ子純情」（1978年松竹作品）です。オール博多ロケの青春映画です！どうぞご来館ください。 　無料。事前申し込み不要。
